PLAYER,POS,AGE,TEAM,G,GS,MP,FG_per_game,FGA_per_game,FG%,3P_per_game,3PA_per_game,3P%,2P_per_game,2PA_per_game,2P%,EFG%_per_game,FT_per_game,FTA_per_game,FT%,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,SEASON,FG_per_36min,FGA_per_36min,3P_per_36min,3PA_per_36min,2P_per_36min,2PA_per_36min,FT_per_36min,FTA_per_36min,ORB_per_36min,DRB_per_36min,TRB_per_36min,AST_per_36min,STL_per_36min,BLK_per_36min,TOV_per_36min,PF_per_36min,PTS_per_36min,FG_per_100poss,FGA_per_100poss,3P_per_100poss,3PA_per_100poss,2P_per_100poss,2PA_per_100poss,FT_per_100poss,FTA_per_100poss,ORB_per_100poss,DRB_per_100poss,TRB_per_100poss,AST_per_100poss,STL_per_100poss,BLK_per_100poss,TOV_per_100poss,PF_per_100poss,PTS_per_100poss,ORTG_per_100poss,DRTG_per_100poss,PER_advanced,TS%_advanced,3PAR_advanced,FTR_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,W,L,W/L%,GB,PW,PL,PS/G,PA/G,CONF,CONF_RANK
JohnKonchar,SG,24,MEM,10,0,17.8,2.0,4.1,.488,0.6,1.3,.462,1.4,2.8,.500,.561,1.0,1.0,1.000,1.3,3.3,4.6,1.7,1.2,0.4,0.2,1.4,5.6,2021,4.0,8.3,1.2,2.6,2.8,5.7,2.0,2.0,2.6,6.7,9.3,3.4,2.4,0.8,0.4,2.8,11.3,5.4,11.0,1.6,3.5,3.8,7.5,2.7,2.7,3.5,8.9,12.4,4.6,3.2,1.1,0.5,3.8,15.0,139,105,18.2,.617,.317,.244,7.7,20.1,13.8,12.4,3.2,2.0,4.2,11.3,0.5,0.3,0.8,.212,0.7,2.7,3.4,0.2,9,8,0.281,5.5,17,15,58.3,58.1,WESTERN_CONF,10
SeanMcDermott,SF,24,MEM,3,0,14.0,0.7,2.3,.286,0.3,1.7,.200,0.3,0.7,.500,.357,0.7,0.7,1.000,0.7,0.3,1.0,1.0,0.0,0.0,1.0,0.3,2.3,2021,1.7,6.0,0.9,4.3,0.9,1.7,1.7,1.7,1.7,0.9,2.6,2.6,0.0,0.0,2.6,0.9,6.0,2.3,8.0,1.1,5.7,1.1,2.3,2.3,2.3,2.3,1.1,3.4,3.4,0.0,0.0,3.4,1.1,8.0,86,118,2.3,.444,.714,.286,5.0,2.6,3.8,8.6,0.0,0.0,27.6,11.0,0.0,0.0,0.0,-0.042,-5.8,-3.6,-9.4,-0.1,9,8,0.281,5.5,17,15,58.3,58.1,WESTERN_CONF,10
DeAnthonyMelton,PG,22,MEM,11,0,22.1,4.2,8.7,.479,1.5,3.7,.415,2.6,5.0,.527,.568,0.5,0.7,.625,0.3,2.7,3.0,3.2,1.0,1.1,1.5,2.3,10.4,2021,6.8,14.2,2.5,6.1,4.3,8.1,0.7,1.2,0.4,4.4,4.9,5.2,1.6,1.8,2.4,3.7,16.9,9.1,18.9,3.3,8.1,5.7,10.8,1.0,1.6,0.6,5.9,6.5,6.9,2.2,2.4,3.1,4.9,22.4,107,107,15.6,.573,.427,.083,1.3,13.4,7.3,20.8,2.2,4.4,13.9,20.1,0.1,0.4,0.5,.103,-0.4,1.4,1.0,0.2,9,8,0.281,5.5,17,15,58.3,58.1,WESTERN_CONF,10
JaMorant,PG,21,MEM,9,9,28.0,7.0,14.1,.496,0.8,2.9,.269,6.2,11.2,.554,.524,4.1,5.2,.787,0.4,1.7,2.1,7.0,1.2,0.4,3.2,1.8,18.9,2021,9.0,18.1,1.0,3.7,8.0,14.4,5.3,6.7,0.6,2.1,2.7,9.0,1.6,0.6,4.1,2.3,24.3,12.0,24.1,1.3,4.9,10.6,19.2,7.0,8.9,0.8,2.8,3.6,12.0,2.1,0.8,5.5,3.0,32.3,110,111,20.5,.576,.205,.370,1.7,6.5,4.0,39.6,2.1,1.4,16.4,29.7,0.4,0.3,0.6,.118,2.3,-1.5,0.8,0.2,9,8,0.281,5.5,17,15,58.3,58.1,WESTERN_CONF,10
XavierTillmanSr,PF,22,MEM,12,5,21.4,3.9,7.3,.534,0.3,1.2,.214,3.7,6.2,.595,.551,0.8,1.0,.750,1.3,3.7,5.0,1.7,1.3,0.8,0.6,2.3,8.8,2021,6.6,12.3,0.4,2.0,6.2,10.4,1.3,1.7,2.2,6.2,8.4,2.8,2.1,1.4,1.0,3.8,14.8,8.7,16.4,0.6,2.6,8.2,13.8,1.7,2.2,3.0,8.2,11.2,3.7,2.8,1.9,1.3,5.0,19.7,118,105,17.5,.568,.159,.136,6.6,18.6,12.5,11.2,2.8,3.5,7.0,16.5,0.4,0.5,0.8,.156,-0.7,1.5,0.8,0.2,9,8,0.281,5.5,17,15,58.3,58.1,WESTERN_CONF,10
JonasValaninas,C,28,MEM,12,12,26.8,5.6,10.5,.532,0.3,1.2,.286,5.3,9.3,.563,.548,2.9,4.0,.729,2.7,7.8,10.4,1.8,0.8,1.0,2.3,3.7,14.4,2021,7.5,14.1,0.4,1.6,7.1,12.6,3.9,5.4,3.6,10.4,14.0,2.4,1.0,1.3,3.0,4.9,19.4,10.0,18.8,0.6,2.1,9.4,16.7,5.2,7.1,4.8,13.9,18.6,3.1,1.3,1.8,4.0,6.6,25.8,109,105,18.5,.588,.111,.381,10.5,31.4,20.8,9.7,1.3,3.3,15.5,23.0,0.3,0.6,0.9,.131,-1.0,-0.1,-1.1,0.1,9,8,0.281,5.5,17,15,58.3,58.1,WESTERN_CONF,10
JarrettAllen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0.0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,2021,5.0,7.3,0.0,0.0,5.0,7.3,5.2,6.9,4.3,9.8,14.1,2.3,0.8,2.1,2.5,2.4,15.1,6.5,9.6,0.0,0.0,6.5,9.6,6.8,9.0,5.6,12.8,18.4,2.9,1.0,2.8,3.2,3.1,19.7,135,109,21.4,.730,.000,.938,14.0,27.9,21.4,8.1,1.0,4.9,19.3,15.3,1.0,0.4,1.4,.215,1.3,0.6,1.9,0.3,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
BruceBrown,PG,24,BRK,19,8,17.6,2.6,4.5,.588,0.2,0.9,.176,2.5,3.6,.691,.606,0.5,0.7,.714,1.1,3.1,4.2,0.9,0.5,0.4,0.9,1.8,5.9,2021,5.4,9.2,0.3,1.8,5.1,7.3,1.1,1.5,2.3,6.4,8.6,1.9,1.0,0.8,1.8,3.8,12.2,7.1,12.0,0.4,2.4,6.6,9.6,1.4,2.0,3.0,8.3,11.3,2.5,1.3,1.0,2.4,4.9,15.9,116,113,12.7,.620,.200,.165,7.4,18.1,13.2,7.1,1.3,1.7,15.7,13.9,0.4,0.3,0.7,.094,-2.2,-0.7,-2.9,-0.1,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
ChrisChiozza,PG,25,BRK,8,0,11.3,1.4,4.9,.282,0.6,2.1,.294,0.8,2.8,.273,.346,0.6,0.9,.714,0.4,0.6,1.0,2.5,0.5,0.4,0.8,0.6,4.0,2021,4.4,15.6,2.0,6.8,2.4,8.8,2.0,2.8,1.2,2.0,3.2,8.0,1.6,1.2,2.4,2.0,12.8,5.8,20.4,2.6,8.9,3.1,11.5,2.6,3.7,1.6,2.6,4.2,10.5,2.1,1.6,3.1,2.6,16.8,93,114,9.6,.380,.436,.179,3.9,5.7,4.9,28.4,2.1,2.7,12.5,22.9,-0.1,0.1,0.0,-0.026,-3.7,-1.8,-5.5,-0.1,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
SpencerDinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7,2021,3.4,9.0,1.1,3.9,2.3,5.1,3.4,3.4,0.0,7.3,7.3,5.1,1.1,0.6,2.8,2.3,11.3,4.4,11.8,1.5,5.2,2.9,6.6,4.4,4.4,0.0,9.6,9.6,6.6,1.5,0.7,3.7,2.9,14.7,103,112,10.2,.536,.438,.375,0.0,20.8,11.2,17.3,1.5,1.3,21.2,15.9,0.0,0.1,0.1,.045,-3.4,2.0,-1.4,0.0,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
KevinDurant,PF,32,BRK,17,17,36.9,10.4,19.5,.533,2.8,6.1,.452,7.6,13.4,.570,.604,7.2,8.2,.878,0.4,7.1,7.5,5.2,0.8,1.4,3.5,2.3,30.8,2021,10.2,19.1,2.7,6.0,7.5,13.1,7.0,8.0,0.4,6.9,7.3,5.1,0.7,1.4,3.4,2.2,30.0,13.3,24.9,3.5,7.8,9.8,17.1,9.2,10.4,0.5,9.1,9.6,6.7,1.0,1.8,4.5,2.9,39.3,122,112,26.3,.665,.313,.419,1.3,19.8,11.2,22.8,1.0,3.2,13.2,31.0,2.2,0.6,2.8,.211,6.1,0.1,6.2,1.3,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
JeffGreen,PF,34,BRK,23,10,25.7,3.2,5.9,.541,1.5,3.3,.447,1.7,2.6,.661,.667,1.1,1.3,.833,0.4,3.4,3.8,1.4,0.7,0.2,1.0,2.2,8.9,2021,4.4,8.2,2.1,4.6,2.4,3.6,1.5,1.8,0.6,4.8,5.4,1.9,1.0,0.3,1.3,3.0,12.5,5.8,10.8,2.7,6.1,3.1,4.7,2.0,2.4,0.8,6.2,7.0,2.6,1.4,0.4,1.8,4.0,16.3,125,115,11.9,.692,.563,.222,2.0,13.5,8.2,6.9,1.4,0.7,12.9,12.4,0.9,0.4,1.3,.104,-0.6,-0.4,-1.1,0.1,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
JamesHarden,SG,31,BRK,9,9,40.3,7.4,15.4,.482,2.8,7.3,.379,4.7,8.1,.575,.572,6.4,7.2,.892,0.8,7.4,8.2,12.0,1.1,0.6,4.2,2.9,24.1,2021,6.6,13.8,2.5,6.5,4.2,7.2,5.8,6.4,0.7,6.6,7.3,10.7,1.0,0.5,3.8,2.6,21.5,8.7,18.0,3.2,8.6,5.5,9.5,7.5,8.4,0.9,8.7,9.6,14.0,1.3,0.6,4.9,3.4,28.2,127,113,23.1,.647,.475,.468,2.3,18.9,11.2,41.3,1.3,1.1,18.5,24.3,1.4,0.3,1.7,.220,5.1,-0.5,4.7,0.6,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
JoeHarris,SF,29,BRK,23,19,31.7,5.6,11.0,.512,3.3,6.9,.487,2.3,4.1,.553,.665,0.3,0.6,.615,0.7,3.0,3.7,2.1,0.6,0.3,0.9,2.4,14.9,2021,6.4,12.5,3.8,7.8,2.6,4.6,0.4,0.6,0.7,3.5,4.2,2.4,0.6,0.3,1.0,2.8,17.0,8.3,16.3,5.0,10.2,3.4,6.1,0.5,0.8,1.0,4.5,5.5,3.2,0.8,0.4,1.3,3.6,22.2,127,117,14.6,.665,.627,.052,2.4,9.9,6.4,9.3,0.8,0.7,7.2,16.4,1.6,0.3,1.8,.121,1.9,-1.6,0.3,0.4,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
KyrieIrving,PG,28,BRK,15,15,35.8,10.8,20.2,.535,3.1,6.9,.447,7.7,13.3,.580,.611,3.7,3.9,.948,0.9,3.9,4.8,5.7,1.0,0.8,2.3,3.0,28.3,2021,10.9,20.3,3.1,6.9,7.8,13.4,3.7,3.9,0.9,4.0,4.8,5.8,1.0,0.8,2.3,3.0,28.5,14.2,26.6,4.0,9.0,10.2,17.5,4.8,5.1,1.1,5.2,6.3,7.5,1.3,1.1,3.0,3.9,37.3,126,115,25.5,.647,.340,.191,2.9,11.3,7.4,26.6,1.3,1.8,9.4,29.0,2.1,0.3,2.4,.213,6.0,-0.7,5.3,1.0,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
TylerJohnson,SG,28,BRK,7,0,6.1,0.4,1.4,.300,0.4,1.0,.429,0.0,0.4,.000,.450,0.0,0.0,,0.1,0.6,0.7,1.1,0.4,0.0,0.3,0.3,1.3,2021,2.5,8.4,2.5,5.9,0.0,2.5,0.0,0.0,0.8,3.3,4.2,6.7,2.5,0.0,1.7,1.7,7.5,3.3,11.0,3.3,7.7,0.0,3.3,0.0,0.0,1.1,4.4,5.5,8.8,3.3,0.0,2.2,2.2,9.9,108,112,10.3,.450,.700,.000,2.7,9.5,6.4,22.3,3.3,0.0,16.7,12.0,0.0,0.0,0.1,.067,-1.1,0.9,-0.2,0.0,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
DeAndreJordan,C,32,BRK,22,17,20.3,3.0,3.6,.813,0.0,0.0,0.0,3.0,3.6,.813,.813,0.7,1.4,.484,1.6,5.2,6.8,1.7,0.3,1.4,1.6,2.1,6.6,2021,5.2,6.5,0.0,0.0,5.2,6.5,1.2,2.5,2.8,9.3,12.1,3.1,0.5,2.4,2.8,3.8,11.7,6.9,8.5,0.0,0.0,6.9,8.5,1.6,3.3,3.7,12.1,15.8,4.0,0.6,3.2,3.7,5.0,15.3,125,110,16.7,.774,.000,.388,9.3,26.4,18.5,11.2,0.6,5.5,27.2,12.4,0.8,0.5,1.3,.144,-0.6,1.8,1.2,0.4,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
RodionsKurucs,PF,22,BRK,5,0,3.2,0.2,0.6,.333,0.2,0.4,.500,0.0,0.2,.000,.500,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6,2021,2.3,6.8,2.3,4.5,0.0,2.3,0.0,0.0,0.0,6.8,6.8,4.5,0.0,0.0,0.0,2.3,6.8,2.9,8.8,2.9,5.9,0.0,2.9,0.0,0.0,0.0,8.8,8.8,5.9,0.0,0.0,0.0,2.9,8.8,128,117,7.7,.500,.667,.000,0.0,19.2,10.3,14.8,0.0,0.0,0.0,8.1,0.0,0.0,0.0,.079,-1.2,0.4,-0.8,0.0,14,9,0.37799999999999995,2.0,23,14,76.0,73.2,EASTERN_CONF,2
