PLAYER,POS,AGE,TEAM,G,GS,MP,FG_per_game,FGA_per_game,FG%,3P_per_game,3PA_per_game,3P%,2P_per_game,2PA_per_game,2P%,EFG%_per_game,FT_per_game,FTA_per_game,FT%,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,SEASON,FG_per_36min,FGA_per_36min,3P_per_36min,3PA_per_36min,2P_per_36min,2PA_per_36min,FT_per_36min,FTA_per_36min,ORB_per_36min,DRB_per_36min,TRB_per_36min,AST_per_36min,STL_per_36min,BLK_per_36min,TOV_per_36min,PF_per_36min,PTS_per_36min,FG_per_100poss,FGA_per_100poss,3P_per_100poss,3PA_per_100poss,2P_per_100poss,2PA_per_100poss,FT_per_100poss,FTA_per_100poss,ORB_per_100poss,DRB_per_100poss,TRB_per_100poss,AST_per_100poss,STL_per_100poss,BLK_per_100poss,TOV_per_100poss,PF_per_100poss,PTS_per_100poss,ORTG_per_100poss,DRTG_per_100poss,PER_advanced,TS%_advanced,3PAR_advanced,FTR_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,W,L,W/L%,GB,PW,PL,PS/G,PA/G,CONF,CONF_RANK
MarquesBolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,0.0,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2,2021,1.2,3.7,0.0,0.0,1.2,3.7,6.2,9.9,3.7,3.7,7.4,0.0,2.5,2.5,2.5,0.0,8.7,1.7,5.1,0.0,0.0,1.7,5.1,8.5,13.6,5.1,5.1,10.2,0.0,3.4,3.4,3.4,0.0,11.9,101,105,13.6,.537,.000,2.667,11.2,11.7,11.4,0.0,3.4,6.4,23.5,12.7,0.0,0.1,0.0,.078,-3.4,0.6,-2.8,0.0,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
DamyeanDotson,SG,26,CLE,19,6,21.7,3.1,7.4,.418,1.2,3.9,.297,1.9,3.5,.552,.496,0.7,1.1,.700,0.1,1.4,1.5,2.4,0.5,0.1,0.8,1.0,8.1,2021,5.1,12.3,1.9,6.5,3.2,5.8,1.2,1.7,0.2,2.4,2.5,3.9,0.9,0.2,1.4,1.7,13.4,7.1,16.9,2.6,8.9,4.4,8.0,1.7,2.4,0.2,3.2,3.5,5.4,1.2,0.2,1.9,2.3,18.4,106,115,10.2,.514,.525,.142,0.5,7.4,3.9,16.5,1.2,0.5,9.7,17.4,0.1,0.2,0.4,.046,-2.0,-0.9,-2.9,-0.1,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
AndreDrummond,C,27,CLE,20,20,29.7,7.4,15.8,.465,0.0,0.4,.000,7.4,15.5,.476,.465,3.5,5.8,.603,4.3,10.4,14.6,2.7,1.6,1.4,3.5,2.9,18.2,2021,8.9,19.2,0.0,0.4,8.9,18.8,4.2,7.0,5.2,12.6,17.7,3.2,1.9,1.6,4.2,3.5,22.1,12.3,26.4,0.0,0.6,12.3,25.8,5.8,9.7,7.1,17.3,24.4,4.4,2.6,2.3,5.8,4.8,30.4,97,100,21.3,.496,.022,.367,15.5,39.5,27.2,16.0,2.6,4.2,16.0,31.9,-0.5,1.4,0.8,.067,-0.8,0.3,-0.5,0.2,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
DanteExum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8,2021,3.1,8.1,0.6,3.4,2.5,4.7,0.3,0.6,0.6,4.7,5.3,4.0,1.2,0.6,2.2,2.8,7.1,4.3,11.1,0.9,4.7,3.4,6.4,0.4,0.9,0.9,6.4,7.2,5.5,1.7,0.9,3.0,3.8,9.8,87,111,6.2,.428,.423,.077,1.9,14.6,8.1,15.6,1.7,1.6,20.7,12.6,-0.1,0.1,0.0,-0.006,-4.8,1.7,-3.1,0.0,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
YogiFerrell,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5,2021,7.2,18.9,2.7,8.1,4.5,10.8,0.0,1.8,2.7,3.6,6.3,4.5,2.7,0.9,2.7,3.6,17.1,9.9,26.0,3.7,11.1,6.2,14.8,0.0,2.5,3.7,4.9,8.7,6.2,3.7,1.2,3.7,4.9,23.5,91,107,12.9,.434,.429,.095,8.1,11.3,9.7,20.7,3.7,2.3,12.1,26.9,-0.1,0.1,0.0,-0.007,-1.9,0.4,-1.5,0.0,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
DariusGarland,PG,21,CLE,14,11,32.2,6.5,14.1,.460,1.8,4.1,.431,4.7,10.0,.471,.523,1.4,1.5,.905,0.6,2.1,2.7,5.3,0.9,0.2,2.8,2.2,16.1,2021,7.3,15.8,2.0,4.6,5.3,11.2,1.5,1.7,0.7,2.3,3.0,5.9,1.0,0.2,3.1,2.5,18.0,10.0,21.7,2.7,6.4,7.2,15.4,2.1,2.3,1.0,3.2,4.2,8.1,1.4,0.3,4.3,3.4,24.8,105,114,13.8,.545,.293,.106,2.2,7.3,4.7,27.2,1.4,0.6,15.8,23.6,0.2,0.3,0.5,.049,0.2,-1.3,-1.1,0.1,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
KevinLove,PF,32,CLE,2,2,23.0,3.0,9.0,.333,1.5,4.5,.333,1.5,4.5,.333,.417,2.0,2.5,.800,1.0,5.0,6.0,2.5,0.5,0.0,1.5,0.5,9.5,2021,4.7,14.1,2.3,7.0,2.3,7.0,3.1,3.9,1.6,7.8,9.4,3.9,0.8,0.0,2.3,0.8,14.9,6.5,19.4,3.2,9.7,3.2,9.7,4.3,5.4,2.2,10.8,12.9,5.4,1.1,0.0,3.2,1.1,20.4,98,111,11.4,.470,.500,.278,4.7,24.6,14.4,16.1,1.1,0.0,12.9,21.8,0.0,0.0,0.0,.028,-1.2,-0.8,-2.1,0.0,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
ThonMaker,C,23,CLE,8,0,9.5,1.3,2.3,.556,0.0,0.3,.000,1.3,2.0,.625,.556,1.3,1.4,.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8,2021,4.7,8.5,0.0,0.9,4.7,7.6,4.7,5.2,3.8,4.7,8.5,1.9,0.9,1.9,1.4,3.3,14.2,6.5,11.7,0.0,1.3,6.5,10.4,6.5,7.2,5.2,6.5,11.7,2.6,1.3,2.6,2.0,4.6,19.5,133,110,19.2,.657,.111,.611,11.4,14.9,13.1,7.8,1.3,4.9,11.6,14.7,0.2,0.1,0.3,.193,0.3,1.2,1.5,0.1,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
JaValeMcGee,C,33,CLE,16,1,16.3,3.1,7.0,.438,0.3,0.8,.308,2.8,6.2,.455,.455,1.3,2.3,.583,1.8,4.1,5.9,1.1,0.6,1.3,1.2,2.5,7.7,2021,6.8,15.4,0.6,1.8,6.2,13.7,2.9,5.0,4.0,9.0,13.0,2.5,1.2,2.8,2.6,5.5,17.0,9.3,21.2,0.8,2.5,8.5,18.8,4.0,6.8,5.5,12.3,17.8,3.4,1.7,3.8,3.6,7.6,23.3,99,103,16.5,.481,.116,.321,12.0,28.2,19.9,11.2,1.7,7.1,12.9,24.4,-0.1,0.5,0.4,.069,-2.8,0.7,-2.1,0.0,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
LarryNanceJr,PF,28,CLE,18,17,34.0,3.8,7.9,.479,1.3,3.4,.387,2.4,4.4,.550,.563,0.7,1.2,.571,1.5,5.4,6.9,3.3,2.1,0.6,1.6,2.1,9.6,2021,4.0,8.4,1.4,3.6,2.6,4.7,0.7,1.2,1.6,5.7,7.3,3.5,2.2,0.6,1.6,2.2,10.1,5.5,11.5,1.9,5.0,3.6,6.5,1.0,1.7,2.2,7.8,10.0,4.8,3.0,0.8,2.3,3.1,13.9,112,107,13.6,.569,.437,.148,4.8,18.0,11.2,14.1,3.0,1.5,15.6,12.7,0.5,0.9,1.4,.108,-0.9,2.1,1.2,0.5,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
IsaacOkoro,SG,20,CLE,17,17,34.9,2.9,7.1,.408,0.7,2.5,.286,2.2,4.6,.474,.458,1.4,2.1,.686,0.9,1.4,2.3,2.0,1.2,0.4,1.4,2.6,7.9,2021,3.0,7.3,0.7,2.5,2.2,4.7,1.5,2.1,1.0,1.4,2.4,2.1,1.3,0.4,1.5,2.7,8.1,4.1,10.0,1.0,3.5,3.1,6.5,2.0,2.9,1.3,1.9,3.3,2.8,1.8,0.5,2.0,3.8,11.2,98,114,6.4,.495,.350,.292,2.9,4.4,3.6,7.9,1.8,0.9,15.1,11.6,-0.2,0.4,0.3,.021,-4.8,-0.4,-5.2,-0.4,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
CediOsman,SF,25,CLE,22,12,28.4,4.5,11.6,.388,2.3,6.3,.370,2.2,5.3,.410,.488,1.1,1.5,.750,0.8,2.6,3.4,3.0,1.0,0.1,1.3,2.4,12.4,2021,5.7,14.7,2.9,8.0,2.8,6.8,1.4,1.8,1.0,3.3,4.3,3.7,1.3,0.2,1.6,3.1,15.8,7.8,20.2,4.0,10.9,3.8,9.3,1.9,2.5,1.4,4.5,5.9,5.2,1.7,0.2,2.2,4.2,21.6,105,113,11.7,.507,.541,.125,3.1,10.3,6.6,16.1,1.7,0.4,9.4,20.6,0.2,0.5,0.8,.058,-0.7,-0.6,-1.3,0.1,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
TaureanPrince,PF,26,CLE,9,3,25.9,2.9,7.8,.371,1.7,4.1,.405,1.2,3.7,.333,.479,2.0,2.4,.818,0.8,3.4,4.2,3.2,1.0,0.8,1.2,1.9,9.4,2021,4.0,10.8,2.3,5.7,1.7,5.1,2.8,3.4,1.1,4.8,5.9,4.5,1.4,1.1,1.7,2.6,13.1,5.5,14.9,3.2,7.9,2.3,7.0,3.8,4.7,1.5,6.6,8.1,6.2,1.9,1.5,2.3,3.6,18.0,112,110,13.7,.533,.529,.314,3.2,15.1,9.0,18.0,1.9,2.8,12.1,16.9,0.2,0.3,0.5,.105,0.3,0.4,0.7,0.1,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
CollinSexton,SG,22,CLE,17,17,34.9,9.0,18.0,.500,1.6,3.7,.444,7.4,14.3,.514,.546,4.6,5.6,.832,0.6,1.9,2.5,4.1,1.0,0.2,2.6,2.8,24.3,2021,9.3,18.5,1.7,3.8,7.6,14.7,4.8,5.8,0.6,1.9,2.5,4.2,1.0,0.2,2.7,2.8,25.0,12.7,25.5,2.3,5.2,10.4,20.2,6.6,7.9,0.8,2.7,3.5,5.8,1.4,0.2,3.7,3.9,34.4,114,115,19.2,.594,.206,.310,1.8,6.1,3.9,21.5,1.4,0.5,11.2,28.6,1.1,0.4,1.5,.122,2.4,-1.1,1.3,0.5,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
LamarStevens,PF,23,CLE,12,0,13.7,1.7,3.9,.426,0.1,0.7,.125,1.6,3.3,.487,.436,0.8,1.2,.714,0.4,2.0,2.4,0.7,0.4,0.3,0.3,0.7,4.3,2021,4.4,10.3,0.2,1.8,4.2,8.6,2.2,3.1,1.1,5.3,6.4,1.8,1.1,0.7,0.9,1.8,11.2,6.0,14.2,0.3,2.4,5.7,11.8,3.0,4.2,1.5,7.2,8.7,2.4,1.5,0.9,1.2,2.4,15.4,103,111,10.2,.480,.170,.298,3.3,16.6,9.8,7.1,1.5,1.7,7.0,15.1,0.0,0.2,0.2,.054,-3.5,-0.2,-3.8,-0.1,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
DeanWade,PF,24,CLE,17,0,9.3,0.6,2.0,.324,0.4,1.2,.333,0.2,0.8,.308,.426,0.1,0.1,1.000,0.2,0.8,1.1,0.5,0.3,0.1,0.5,0.8,1.8,2021,2.5,7.7,1.6,4.8,0.9,3.0,0.5,0.5,0.9,3.2,4.1,2.1,1.1,0.2,1.8,3.0,7.1,3.4,10.6,2.2,6.6,1.3,4.1,0.6,0.6,1.3,4.4,5.6,2.8,1.6,0.3,2.5,4.1,9.7,87,113,4.1,.444,.618,.059,2.7,10.0,6.3,7.7,1.6,0.6,18.7,11.8,-0.2,0.1,0.0,-0.012,-5.5,-1.0,-6.5,-0.2,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
DylanWindler,SF,24,CLE,9,0,16.6,1.7,3.3,.500,0.9,2.3,.381,0.8,1.0,.778,.633,0.7,0.8,.857,0.2,2.3,2.6,0.8,0.9,0.4,0.9,1.1,4.9,2021,3.6,7.2,1.9,5.1,1.7,2.2,1.4,1.7,0.5,5.1,5.6,1.7,1.9,1.0,1.9,2.4,10.6,5.0,10.0,2.7,7.0,2.3,3.0,2.0,2.3,0.7,7.0,7.6,2.3,2.7,1.3,2.7,3.3,14.6,111,108,11.8,.665,.700,.233,1.5,16.0,8.5,6.7,2.7,2.5,19.5,11.9,0.1,0.2,0.3,.098,-1.4,1.1,-0.4,0.1,10,12,0.278,5.5,12,24,63.4,66.4,EASTERN_CONF,7
KostasAntetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,0.0,0.0,2.0,.000,.000,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,2021,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,9.0,9.0,4.5,0.0,0.0,12.1,0.0,0.0,0.0,12.1,0.0,0.0,0.0,24.2,24.2,0.0,0.0,12.1,12.1,6.1,0.0,0,84,-9.1,.000,.000,.000,0.0,53.7,27.7,0.0,0.0,21.0,50.0,21.6,-0.1,0.0,-0.1,-0.405,-19.3,2.0,-17.3,0.0,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
DevontaeCacok,PF,24,LAL,1,0,2.0,1.0,1.0,1.000,0.0,0.0,0.0,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2021,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,24.2,24.2,0.0,0.0,24.2,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4,200,113,39.0,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,.346,14.1,3.9,18.0,0.0,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
KentaviousCaldwellPope,SG,27,LAL,19,19,24.3,3.3,6.9,.477,1.9,4.0,.474,1.4,2.9,.482,.614,0.9,1.0,.895,0.3,1.8,2.1,1.3,0.7,0.3,0.9,1.6,9.4,2021,4.9,10.3,2.8,5.9,2.1,4.4,1.3,1.5,0.5,2.7,3.1,2.0,1.1,0.4,1.3,2.4,14.0,6.6,13.9,3.8,8.0,2.8,5.9,1.8,2.0,0.6,3.6,4.2,2.6,1.5,0.5,1.8,3.3,18.8,119,107,12.0,.638,.576,.144,1.5,7.9,4.8,7.4,1.5,0.9,10.8,14.8,0.6,0.7,1.3,.135,-0.4,0.1,-0.3,0.2,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
AlexCaruso,PG,26,LAL,18,0,18.2,2.0,4.4,.450,1.1,2.3,.463,0.9,2.2,.436,.569,0.2,0.3,.800,0.6,1.7,2.3,2.2,0.9,0.2,1.1,1.6,5.3,2021,4.0,8.8,2.1,4.5,1.9,4.3,0.4,0.5,1.1,3.4,4.5,4.3,1.9,0.3,2.2,3.1,10.4,5.3,11.8,2.8,6.1,2.5,5.8,0.6,0.7,1.5,4.6,6.1,5.8,2.5,0.4,3.0,4.1,14.0,109,105,11.0,.578,.513,.063,3.5,10.2,6.9,15.6,2.5,0.8,19.6,13.5,0.2,0.6,0.8,.114,-1.7,1.9,0.2,0.2,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
QuinnCook,PG,27,LAL,13,0,3.4,0.6,1.5,.421,0.3,0.8,.400,0.3,0.7,.444,.526,0.3,0.4,.800,0.0,0.3,0.3,0.3,0.1,0.0,0.2,0.1,1.8,2021,6.5,15.5,3.3,8.2,3.3,7.4,3.3,4.1,0.0,3.3,3.3,3.3,0.8,0.0,1.6,0.8,19.6,8.8,20.9,4.4,11.0,4.4,9.9,4.4,5.5,0.0,4.4,4.4,4.4,1.1,0.0,2.2,1.1,26.4,112,109,14.3,.566,.526,.263,0.0,9.8,5.0,13.2,1.1,0.0,8.6,22.8,0.1,0.1,0.1,.121,-0.8,-1.3,-2.1,0.0,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
AnthonyDavis,PF,27,LAL,20,20,33.1,8.5,16.2,.526,0.8,2.6,.314,7.7,13.6,.566,.551,4.1,5.9,.701,2.0,6.8,8.8,3.3,1.4,1.9,2.0,1.9,21.9,2021,9.3,17.6,0.9,2.8,8.4,14.8,4.5,6.4,2.2,7.4,9.5,3.5,1.5,2.1,2.1,2.1,23.9,12.5,23.7,1.2,3.7,11.3,19.9,6.0,8.6,2.9,9.9,12.8,4.8,2.1,2.8,2.9,2.8,32.1,117,100,24.6,.585,.158,.362,6.9,22.0,14.6,16.0,2.1,4.8,9.4,27.1,1.5,1.6,3.0,.221,4.2,2.4,6.6,1.4,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
JaredDudley,PF,35,LAL,6,0,3.7,0.2,0.2,1.000,0.2,0.2,1.000,0.0,0.0,,1.500,0.0,0.0,,0.2,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0.5,2021,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0,1.6,8.2,9.8,1.6,0.0,0.0,0.0,0.0,4.9,2.2,2.2,2.2,2.2,0.0,0.0,0.0,0.0,2.2,11.0,13.2,2.2,0.0,0.0,0.0,0.0,6.6,261,108,11.6,1.500,1.000,.000,5.2,24.4,15.1,5.5,0.0,0.0,0.0,2.0,0.1,0.0,0.1,.179,2.2,-0.5,1.7,0.0,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
MarcGasol,C,36,LAL,23,23,19.3,1.2,3.2,.365,0.5,1.7,.300,0.7,1.5,.441,.446,0.8,1.0,.864,0.9,3.5,4.4,2.0,0.5,1.2,1.0,2.3,3.7,2021,2.2,6.0,1.0,3.2,1.2,2.8,1.5,1.8,1.6,6.6,8.2,3.6,0.9,2.3,1.9,4.4,6.9,2.9,8.1,1.3,4.4,1.6,3.7,2.1,2.4,2.2,8.8,11.0,4.9,1.2,3.0,2.5,5.9,9.2,106,102,9.8,.508,.541,.297,5.1,19.6,12.6,12.5,1.2,5.3,21.6,10.4,0.1,0.9,1.1,.114,-3.1,2.6,-0.5,0.2,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
MontrezlHarrell,C,27,LAL,23,0,24.7,5.4,8.5,.641,0.0,0.2,.000,5.4,8.3,.654,.641,2.3,3.2,.716,2.4,3.8,6.2,1.0,0.7,0.7,1.1,2.1,13.2,2021,7.9,12.4,0.0,0.3,7.9,12.1,3.4,4.7,3.5,5.6,9.1,1.4,1.1,1.0,1.6,3.1,19.2,10.7,16.6,0.0,0.3,10.7,16.3,4.5,6.3,4.7,7.5,12.2,1.9,1.4,1.3,2.1,4.2,25.8,130,104,21.4,.666,.021,.379,11.0,16.7,13.9,5.9,1.4,2.2,9.9,19.2,1.7,1.0,2.7,.231,1.8,0.2,2.0,0.6,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
TalenHortonTucker,SG,20,LAL,19,0,16.3,2.8,6.1,.461,0.6,1.8,.343,2.2,4.2,.513,.513,1.0,1.2,.864,0.4,2.2,2.6,1.7,0.9,0.4,1.1,2.0,7.2,2021,6.2,13.4,1.4,4.1,4.8,9.3,2.2,2.6,0.9,4.8,5.7,3.7,2.1,0.9,2.4,4.4,15.9,8.3,18.0,1.9,5.5,6.4,12.5,3.0,3.4,1.2,6.4,7.7,5.0,2.8,1.2,3.3,5.9,21.4,106,102,14.0,.549,.304,.191,2.9,14.2,8.7,14.7,2.8,2.2,14.4,20.3,0.1,0.7,0.8,.121,-2.2,2.4,0.2,0.2,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
LeBronJames,PG,36,LAL,23,23,33.6,9.1,18.4,.496,2.7,6.7,.409,6.4,11.7,.546,.571,4.1,5.8,.714,0.7,7.2,7.8,7.7,0.9,0.5,3.5,1.4,25.1,2021,9.8,19.7,2.9,7.2,6.8,12.5,4.4,6.2,0.7,7.7,8.4,8.2,0.9,0.5,3.7,1.5,26.9,13.2,26.5,3.9,9.6,9.2,16.8,5.9,8.3,0.9,10.3,11.3,11.0,1.3,0.7,5.0,2.1,36.2,116,104,24.6,.600,.364,.314,2.2,22.9,12.9,37.9,1.3,1.2,14.2,31.4,2.0,1.4,3.4,.214,6.4,1.1,7.5,1.9,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
KyleKuzma,SF,25,LAL,23,5,24.0,3.9,8.9,.436,1.7,4.4,.382,2.2,4.4,.490,.532,0.5,0.8,.611,1.5,4.1,5.6,1.1,0.3,0.7,1.3,1.7,9.9,2021,5.8,13.3,2.5,6.7,3.3,6.7,0.7,1.2,2.2,6.1,8.3,1.6,0.4,1.0,2.0,2.5,14.9,7.8,17.9,3.4,8.9,4.4,8.9,1.0,1.6,3.0,8.2,11.2,2.2,0.5,1.4,2.6,3.3,20.0,104,106,11.9,.538,.500,.088,7.0,18.3,12.8,6.4,0.5,2.4,12.4,19.0,0.1,0.9,1.0,.087,-0.6,-0.9,-1.5,0.1,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
WesleyMatthews,SG,34,LAL,17,1,19.5,1.6,4.0,.397,1.2,3.2,.364,0.4,0.8,.538,.544,0.4,0.5,.750,0.3,0.8,1.1,1.0,0.4,0.2,0.2,1.3,4.7,2021,2.9,7.4,2.2,6.0,0.8,1.4,0.7,0.9,0.5,1.4,2.0,1.8,0.7,0.4,0.3,2.4,8.7,3.9,9.9,2.9,8.0,1.0,1.9,0.9,1.2,0.7,1.9,2.6,2.5,0.9,0.6,0.4,3.2,11.7,120,110,7.5,.559,.809,.118,1.7,4.2,3.0,6.5,0.9,1.0,4.0,9.7,0.3,0.4,0.7,.106,-2.1,-0.4,-2.5,0.0,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
AlfonzoMcKinnie,SF,28,LAL,12,0,3.2,0.7,1.1,.615,0.3,0.3,.750,0.4,0.8,.556,.731,0.2,0.2,1.000,0.3,0.4,0.8,0.1,0.1,0.0,0.1,0.2,1.8,2021,7.6,12.3,2.8,3.8,4.7,8.5,1.9,1.9,3.8,4.7,8.5,0.9,0.9,0.0,0.9,1.9,19.9,10.2,16.6,3.8,5.1,6.4,11.5,2.5,2.5,5.1,6.4,11.5,1.3,1.3,0.0,1.3,2.5,26.8,147,107,22.9,.756,.308,.154,12.0,14.1,13.1,4.0,1.3,0.0,6.7,16.9,0.2,0.1,0.2,.271,5.4,-0.7,4.6,0.1,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
MarkieffMorris,PF,31,LAL,19,1,14.5,1.5,3.8,.397,0.8,2.6,.306,0.7,1.3,.583,.500,0.4,0.6,.727,0.7,2.7,3.4,0.9,0.1,0.3,0.5,1.5,4.3,2021,3.8,9.6,2.0,6.4,1.8,3.1,1.0,1.4,1.7,6.8,8.5,2.4,0.1,0.8,1.3,3.7,10.6,5.1,12.9,2.6,8.6,2.5,4.2,1.4,1.9,2.3,9.2,11.4,3.2,0.2,1.1,1.8,4.9,14.3,108,107,9.2,.520,.671,.151,5.4,20.3,13.1,8.5,0.2,1.8,11.4,13.8,0.1,0.4,0.6,.098,-2.2,-0.4,-2.6,0.0,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
DennisSchrder,SG,27,LAL,23,23,30.6,5.0,11.7,.433,1.0,3.2,.324,4.0,8.4,.474,.478,2.7,3.3,.818,0.6,3.0,3.6,4.2,0.9,0.1,2.1,2.7,13.9,2021,5.9,13.7,1.2,3.8,4.7,9.9,3.2,3.9,0.7,3.5,4.2,5.0,1.1,0.2,2.5,3.1,16.3,8.0,18.5,1.7,5.1,6.3,13.4,4.3,5.3,1.0,4.7,5.6,6.7,1.4,0.2,3.3,4.2,22.0,106,107,12.4,.528,.276,.287,2.3,10.4,6.5,19.5,1.4,0.4,13.7,21.5,0.4,1.0,1.4,.096,-1.9,-0.4,-2.3,-0.1,17,6,0.45899999999999996,0.5,28,9,69.5,64.4,WESTERN_CONF,2
CarmeloAnthony,PF,36,POR,20,3,25.8,4.3,11.1,.385,1.5,4.3,.353,2.8,6.8,.404,.452,2.6,3.0,.864,0.5,3.2,3.6,1.4,1.0,0.7,0.9,2.0,12.6,2021,5.9,15.4,2.1,5.9,3.8,9.5,3.6,4.1,0.6,4.4,5.0,1.9,1.3,1.0,1.3,2.8,17.5,7.9,20.6,2.8,7.9,5.1,12.7,4.8,5.5,0.8,5.9,6.7,2.5,1.8,1.3,1.7,3.7,23.4,105,116,13.1,.508,.385,.267,1.8,13.7,7.4,7.6,1.8,2.6,6.8,21.9,0.2,0.2,0.4,.040,-1.7,-1.6,-3.3,-0.2,12,9,0.34299999999999997,4.5,17,18,69.4,69.9,WESTERN_CONF,4
KeljinBlevins,SF,25,POR,8,0,4.8,0.1,1.1,.111,0.0,0.4,.000,0.1,0.8,.167,.111,0.0,0.0,,0.0,0.0,0.0,0.5,0.3,0.0,0.4,0.5,0.3,2021,0.9,8.5,0.0,2.8,0.9,5.7,0.0,0.0,0.0,0.0,0.0,3.8,1.9,0.0,2.8,3.8,1.9,1.3,11.4,0.0,3.8,1.3,7.6,0.0,0.0,0.0,0.0,0.0,5.1,2.5,0.0,3.8,5.1,2.5,38,119,-5.9,.111,.333,.000,0.0,0.0,0.0,12.8,2.5,0.0,25.0,13.4,-0.2,0.0,-0.2,-0.244,-12.3,-3.3,-15.6,-0.1,12,9,0.34299999999999997,4.5,17,18,69.4,69.9,WESTERN_CONF,4
RobertCovington,PF,30,POR,19,19,30.7,2.5,7.5,.338,1.6,5.2,.303,0.9,2.3,.419,.444,0.7,0.7,.929,0.7,4.9,5.7,1.8,1.7,0.5,1.2,2.8,7.3,2021,3.0,8.8,1.8,6.1,1.1,2.7,0.8,0.9,0.9,5.8,6.7,2.1,2.0,0.6,1.4,3.3,8.6,4.0,11.7,2.5,8.2,1.5,3.5,1.1,1.2,1.2,7.7,8.9,2.8,2.6,0.7,1.8,4.4,11.5,97,114,8.2,.469,.697,.099,2.4,18.0,9.8,7.6,2.6,1.5,12.9,12.4,-0.2,0.4,0.2,.017,-4.0,0.1,-3.9,-0.3,12,9,0.34299999999999997,4.5,17,18,69.4,69.9,WESTERN_CONF,4
