player_season_team,PLAYER,POS,AGE,TEAM,G,GS,MP,FG_per_game,FGA_per_game,FG%,3P_per_game,3PA_per_game,3P%,2P_per_game,2PA_per_game,2P%,EFG%_per_game,FT_per_game,FTA_per_game,FT%,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,SEASON,FG_per_36min,FGA_per_36min,3P_per_36min,3PA_per_36min,2P_per_36min,2PA_per_36min,FT_per_36min,FTA_per_36min,ORB_per_36min,DRB_per_36min,TRB_per_36min,AST_per_36min,STL_per_36min,BLK_per_36min,TOV_per_36min,PF_per_36min,PTS_per_36min,FG_per_100poss,FGA_per_100poss,3P_per_100poss,3PA_per_100poss,2P_per_100poss,2PA_per_100poss,FT_per_100poss,FTA_per_100poss,ORB_per_100poss,DRB_per_100poss,TRB_per_100poss,AST_per_100poss,STL_per_100poss,BLK_per_100poss,TOV_per_100poss,PF_per_100poss,PTS_per_100poss,ORTG_per_100poss,DRTG_per_100poss,PER_advanced,TS%_advanced,3PAR_advanced,FTR_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced
AshtonHagans_2021_MIN,AshtonHagans,PG,21,MIN,2,0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0,122,-12.6,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,0.0,0.0,0.0,-0.351,-13.8,-7.9,-21.7,0.0
TyreseHaliburton_2021_SAC,TyreseHaliburton,PG,20,SAC,19,1,28.9,4.3,9.1,.471,2.2,5.1,.423,2.1,3.9,.533,.590,0.5,0.6,.833,1.1,2.6,3.7,5.4,1.2,0.6,1.6,1.3,11.2,2021,5.3,11.3,2.7,6.4,2.6,4.9,0.7,0.8,1.4,3.3,4.7,6.7,1.4,0.8,2.0,1.6,14.0,7.1,15.0,3.6,8.5,3.5,6.6,0.9,1.0,1.8,4.4,6.2,8.9,1.9,1.0,2.6,2.1,18.6,122,118,16.7,.601,.564,.070,4.1,10.1,7.1,26.0,1.9,1.9,14.5,16.1,1.1,0.1,1.2,.107,2.4,-0.8,1.6,0.5
JoshHall_2021_OKC,JoshHall,SF,20,OKC,7,0,7.3,0.6,2.6,.222,0.1,1.1,.125,0.4,1.4,.300,.250,0.4,1.0,.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7,2021,2.8,12.7,0.7,5.6,2.1,7.1,2.1,4.9,0.7,5.6,6.4,4.9,0.0,0.0,2.8,4.9,8.5,3.7,16.7,0.9,7.4,2.8,9.3,2.8,6.5,0.9,7.4,8.3,6.5,0.0,0.0,3.7,6.5,11.1,66,116,-2.1,.285,.444,.389,2.1,16.1,9.1,18.7,0.0,0.0,15.9,21.4,-0.2,0.0,-0.2,-0.204,-10.6,-3.7,-14.4,-0.2
RJHampton_2021_DEN,RJHampton,PG,19,DEN,14,0,3.3,0.3,0.9,.333,0.0,0.1,.000,0.3,0.7,.400,.333,0.1,0.1,1.000,0.2,0.3,0.5,0.1,0.2,0.0,0.4,0.4,0.7,2021,3.1,9.4,0.0,1.6,3.1,7.8,1.6,1.6,2.3,3.1,5.5,0.8,2.3,0.0,4.7,3.9,7.8,4.3,12.9,0.0,2.1,4.3,10.7,2.1,2.1,3.2,4.3,7.5,1.1,3.2,0.0,6.4,5.4,10.7,66,111,0.8,.388,.167,.167,7.5,10.0,8.7,2.8,3.2,0.0,31.8,17.8,-0.2,0.0,-0.1,-0.137,-10.2,-1.6,-11.8,-0.1
TimHardawayJr_2021_DAL,TimHardawayJr,SG,28,DAL,22,17,31.4,6.0,13.6,.443,3.2,8.0,.400,2.9,5.7,.504,.560,2.0,2.5,.768,0.3,3.5,3.7,1.8,0.7,0.2,1.0,1.6,17.2,2021,6.9,15.6,3.6,9.1,3.3,6.5,2.2,2.9,0.3,4.0,4.3,2.0,0.8,0.2,1.1,1.8,19.7,9.3,21.1,4.9,12.3,4.4,8.8,3.0,3.9,0.4,5.3,5.8,2.7,1.1,0.3,1.5,2.5,26.6,113,116,14.9,.584,.583,.187,0.9,11.9,6.4,8.9,1.1,0.5,6.3,22.0,0.9,0.3,1.2,.082,1.5,-1.5,0.0,0.3
JamesHarden_2021_TOT,JamesHarden,SG,31,TOT,18,18,38.4,7.3,15.7,.465,2.9,7.9,.364,4.4,7.7,.568,.557,6.6,7.4,.881,0.7,6.1,6.8,11.3,1.1,0.6,4.2,2.3,24.0,2021,6.8,14.7,2.7,7.4,4.1,7.2,6.1,7.0,0.6,5.7,6.3,10.6,1.0,0.6,3.9,2.2,22.5,8.9,19.2,3.5,9.7,5.4,9.5,8.0,9.1,0.8,7.5,8.3,13.8,1.3,0.7,5.1,2.9,29.4,124,111,23.0,.634,.507,.475,2.0,16.4,9.6,43.1,1.3,1.3,18.0,25.7,2.4,0.7,3.1,.216,5.3,-0.6,4.7,1.1
JamesHarden_2021_HOU,JamesHarden,SG,31,HOU,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8,2021,7.4,16.8,3.1,8.9,4.3,7.8,6.6,7.4,0.6,4.5,5.1,10.3,0.9,0.7,4.2,1.7,24.6,9.7,21.9,4.1,11.7,5.7,10.2,8.6,9.7,0.8,5.8,6.6,13.4,1.1,1.0,5.5,2.3,32.1,119,108,23.0,.613,.533,.444,1.8,12.9,7.5,45.8,1.1,1.8,17.4,28.7,0.9,0.4,1.3,.209,5.6,-1.0,4.6,0.5
JamesHarden_2021_BRK,JamesHarden,SG,31,BRK,10,10,40.2,7.1,14.7,.483,2.7,7.1,.380,4.4,7.6,.579,.575,6.5,7.4,.878,0.7,7.4,8.1,12.0,1.2,0.5,4.1,2.8,23.4,2021,6.4,13.2,2.4,6.4,3.9,6.8,5.8,6.6,0.6,6.6,7.3,10.7,1.1,0.4,3.7,2.5,21.0,8.3,17.2,3.2,8.3,5.2,8.9,7.6,8.7,0.8,8.7,9.5,14.1,1.4,0.6,4.8,3.3,27.5,128,114,23.0,.652,.483,.503,2.1,18.9,11.1,41.2,1.4,1.0,18.6,23.6,1.5,0.3,1.9,.221,5.1,-0.3,4.8,0.7
MauriceHarkless_2021_MIA,MauriceHarkless,SF,27,MIA,9,3,10.7,0.4,1.1,.400,0.4,0.9,.500,0.0,0.2,.000,.600,0.0,0.2,.000,0.0,0.9,0.9,0.6,0.2,0.2,0.2,1.2,1.3,2021,1.5,3.7,1.5,3.0,0.0,0.7,0.0,0.7,0.0,3.0,3.0,1.9,0.7,0.7,0.7,4.1,4.5,2.0,5.1,2.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.5,1.0,1.0,1.0,5.6,6.1,101,114,3.9,.551,.800,.200,0.0,8.9,4.7,6.9,1.0,2.1,15.5,6.0,0.0,0.1,0.1,.034,-3.6,0.7,-2.9,0.0
JaredHarper_2021_NYK,JaredHarper,PG,23,NYK,2,0,2.5,0.0,0.5,.000,0.0,0.0,0.0,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2021,0.0,7.2,0.0,0.0,0.0,7.2,14.4,14.4,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,14.4,0.0,10.1,0.0,0.0,0.0,10.1,20.1,20.1,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0,20.1,53,119,-11.8,.532,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,51.5,34.2,0.0,0.0,0.0,-0.472,-15.0,-8.5,-23.5,0.0
MontrezlHarrell_2021_LAL,MontrezlHarrell,C,27,LAL,23,0,24.7,5.4,8.5,.641,0.0,0.2,.000,5.4,8.3,.654,.641,2.3,3.2,.716,2.4,3.8,6.2,1.0,0.7,0.7,1.1,2.1,13.2,2021,7.9,12.4,0.0,0.3,7.9,12.1,3.4,4.7,3.5,5.6,9.1,1.4,1.1,1.0,1.6,3.1,19.2,10.7,16.6,0.0,0.3,10.7,16.3,4.5,6.3,4.7,7.5,12.2,1.9,1.4,1.3,2.1,4.2,25.8,130,104,21.3,.666,.021,.379,11.0,16.7,13.9,5.9,1.4,2.2,9.9,19.2,1.7,1.0,2.7,.231,1.8,0.2,2.0,0.6
